code,name,synonyms,unit,tables,comments,examples
EDIBLE,edible portion ,,%,,"The ‘edible portion’ is defined as (100 – refuse), where refuse is the inedible weight as a percent taken away from the “as purchased” or “as acquired” food before analysing the 100g edible part. If another definition is used, it should be specified. ",
REFUSE,refuse ,,%,,"Synonyms: or inedible material (also called waste)The refuse is defined as (100 – edible portion),  and represents the inedible weight as a percent of the “as purchased” or “as acquired” food before analysing the 100g edible part. If another definition is used, it should be specified. In addition to providing a value, it may be necessary to describe refuse in a food descriptor field.",
RUBA,Rubner conversion factors using available carbohydrate kilocalories,,kcal/g,,Rubner conversion factors using available carbohydrate kilocalories = (4.1 x g total protein) + (3.75 x g available carbohydrate expressed as monosaccharides) + (9.3 x g total           fat) + (7 x g alcohol). ,
RUBT,Rubner conversion factors using total carbohydrate           kilocalories,,kcal/g,,Rubner conversion factors using total carbohydrate           kilocalories = (4.1 x g total protein) + (4.1 x g total carbohydrate) + (9.3 x g total fat) + (7 x g alcohol). ,
ARGHIS,Sum of arginine + histidine,,mg,,Sum of arginine and histidine (from Slovak). ,
AANE,"amino acids, total non-essential",,mg,,"Sum of 11 non-essential amino acids: alanine, asparagine, aspartic acid, cysteine, glutamic acid, glycine, hydroxyproline and hydroxylysine, proline, serine, tyrosine (from Slovak)",
HYL,hydroxylysine,,mg,,"5-hydroxylysine, non-essential amino acid. Hydroxylysine is found only in animal proteins and mostly in collagens (from Slovak table). ",
ORN,Ornithine,,mg,,Amino acid with side chain - (CH2)3NH3+. (NCI). ,
TAU,Taurine,,mg,,Non-protein amino acid with sulfonic acid group (NCI). ,
CONPRO,connective tissue protein,,mg,,This term is not precisely defined in the table in which it appears. The Tagname should be construed as ``connective tissue protein as the term is used by Souci-Fachmann-Kraut'' ,
ELAN,elastin,,mg,,from Slovak table,
CHRPRO,chromoproteins,,mg,," class of conjugated proteins, such as hemoglobin, that contains a pigmented prosthetic group, such as heme. From Slovak table",
FBRN,fibrin,,mg,,from Slovak table,
HB,hemoglobin,,mg,,from Slovak table,
MB,myoglobin,,mg,,from Slovak table,
MEA,"ethanolamines, total",,g,,Emulsifier,
SPHL,Sphingolipid,,?,,"A class of dietary lipids containing a long-chained sphingosine group (unsaturated amino alcohol with formula C18H37NO2), fatty acids bound to the NH2 group as an amide, and either sugars or phosphoric acid and alcohols bound to the primary hydroxy group (NCI)",
F16D2,Fatty Acid 16:2,,g,,Hexadecadienoic Acid. A polyunsaturated fatty acids with 16 carbons and 2 double bonds. ,
F16D3,Fatty Acid 16:3,,g,,Hexadecatrienoic Acid. A polyunsaturated fatty acids with 16 carbons and 3 double bonds. ,
FAN3,"fatty acids, total n-3 ",,g,,A class of fatty acids with the first double bond at the 3rd carbon from the methyl end. ,
FAN6,"fatty acids, total n-6 ",,g,,A class of fatty acids with the first double bond at the 6th carbon from the methyl end. ,
FATCAN,"Fat, animal",,g,,,
FATCPL,"Fat, plant",,g,,,
GLYN,glycerine,,g,,from Slovak table,
PHOA,Phosphatidic Acid,,mg,,Simplest form of dietary phospholipid consisting of glycerol bound to two fatty acids and a phosphate group. (NCI),
PHOETHN,Phosphatidylethanolamine,cephalin (old term),mg,,Dietary phospholipid containing ethanolamine. (NCI),
PHOINOTL,Phosphatidylinositol,,mg,,Dietary phospholipid containing inositol. (NCI),
PHOSER,Phosphatidylserine,,mg,,Dietary phospholipid containing serine. (NCI),
PLG,Plasmalogen,,mg,,A glycerophospholipid with an enol ether double bond in the sn-1 position of its glycerol backbone. (NCI),
CHOAVLDF ,"carbohydrate, available; calculated by difference",,g,,"This value is calculated: 100 g minus total grams of water, protein, fat, alcohol, ash and dietary fibre; or CHOCDF – dietary fibre. ",
CHOAVL-,"carbohydrate, available;  method unknown or variable",,g,,This tag should be used if method is unknown or undocumented; may also be used if combinations of methods are used to calculate a mean.,
SUGAD,"sugar, added",,g,,,
MAN,Mannose,,g,,"A hexose which is an epimer at C-2 of glucose.  Structurally, it is a glucose with the OH and H groups interchanged at carbon-2. (NCI)",
FUCOS,Fucose,,g,,A hexose whose structure can be derived from galactose replacing the -OH group on carbon 6 with a hydrogen. (NCI),
TRES,trehalose,,g,,,
STASM,stachyose; expressed in monosaccharide equivalents,,g,,Tetrasacchride,
VERSM,verbascose; expressed in monosaccharide equivalents,,g,,Pentasaccharide,
FRUOLSAC,Fructooligosaccharide,,g,,NCI,
FRUOLSACM,Fructooligosaccharide; expressed in monosaccharide equivalents,,g,,,
POLYSAC,"polysaccharides, total",,g,,Sum of starch and non-starch-polysaccharides. DP >10,
STARES1,"starch, resistant RS1",,g,,"Resistant starch (RS1): physically protected or encapsulated, as in whole and partly milled grains.",
STARES2,"starch, resistant RS2",,g,,"Resistant starch (RS2): raw starchy foods, such as potatoes and green banana.",
STARES3,"starch, resistant RS3",,g,,Resistant starch (RS3): retrograded starch that has been gelatinised and then cooled.,
STARES4,"starch, resistant RS4",,g,,Resistant starch (RS4): starch in which chemical modification confers amylase resistance.,
STAHY,"starch, particially hydrolysed",,g,,,
STAHYM,"starch, particially hydrolysed; expressed in monosaccharide equivalents",,g,,,
STAMO,"starch, modified",,g,,,
STAMOM,"starch, modified; expressed in monosaccharide equivalents",,g,,,
GLYCM,glycogen; expressed in monosaccharide equivalents,,g,,-,
MALTDEX,maltodextrin,,g,,Partially hydrolysed starch.,
MALTDEXM,maltodextrin,,g,,Partially hydrolysed starch. Classification? ALSO IN MONOSACCH. EQ?,
GALTN,Galactan,,g,,Galactan is a polymer of the sugar galactose. It is found in hemicellulose and can be converted to galactose by hydrolysis.,
GLUMNM,glucomannan; expressed in monosaccharide equivalents,,g,,-,
MANNM,mannan; expressed in monosaccharide equivalents,,g,,-,
FRUTNM,fructan; expressed in monosaccharide equivalents,,g,,-,
GALMN,galactomannan,,g,,,
GALMNM,galactomannan; expressed in monosaccharide equivalents,,g,,,
CHITIN,chitin,,g,,from Slovak table,
GALURAC,galacturonic acid,,mg,,"D-Galacturonic acid is a sugar acid, the oxidized form of D-galactose. It is the main component of pectin, in which it exists as the polymer polygalacturonic acid",
ERYTHL,erythritol,,mg,,"from Slovak table. Erythritol (butane-1,2,3,4-tetraol) is a natural sugar alcohol ",
GALTL,galactitol  ,"dulcitol,",mg,,,
LACTL,lactitol,,mg,,,
MALTL,maltitol,,mg,,,
POLYL,"Polyols, total",,mg,,,
MALAC,malonic acid,"propanedioic acid, methanedicarboxylic acid",mg,,from Slovak table. ,
FORAC,formic acid,"methanoic acid, hydrogen carboxylic acid, aminic acid",mg,,from Slovak table,
PYRAC,pyruvic acid,"Propanoic acid, BTS;",mg,,,
LACACD,D-lactic acid,,mg,,From COST,
LACACL,L-lactic acid,,mg,,From COST,
GLYCLAC,glycolic acid,,mg,,Glycolic acid (or hydroxyacetic acid) is the smallest α-hydroxy acid (AHA).,
ASIO,"arsenic, inorganic",,mcg,,GEMS/Foods code 174,
ASO,"arsenic, organic",,mcg,,,
BI,bismuth,,mcg,,non essential trace element. (From Slovak table),
MO4+,molybdenum 4+,,mcg,,Molybdenum ion requiring four electrons to return to its elemental state.,
NI2+,nickel 2+,,mcg,,Nickel ion requiring two electrons to return to its elemental state.,
TI,titanum,,mcg,,Non essential trace element. (From Slovak table),
LA,lanthanum,,,,from Slovak table,
CS,cesium,Caesium,,,Non essential trace element. (From Slovak table) includes cesium (isotope 133) ,
CS137,cesium-137,,,,GEMS/Foods code 137 ,
ID131,iodide 131,iodine 131,mcg,,GEMS/Foods code 139,
PU239,plutonium 239,,,,GEMS/Foods code 140,
SR90,strontium 90,,mcg,,GEMS/Foods code 138,
ASIO,"arsenic, inorganic",,mcg,,GEMS/Foods code 174,
ASO,"arsenic, organic",,mcg,,,
RETOLEQ,"Summation, all-trans retinol equivalents = all-trans retinol + 0.75 13-cis retinol + 0.90 retinaldehyde",,mcg,,Used in the McCance and Widdowson (British) table,
XRETALD,Conversion factor for retinol equivalent of retinaldehyde,,,,In the British table equals 0.9,
XRETOL13,Conversion factor for retinol equivalent of 13-cis retinol,,,,In the British table equals 0.75,
RETINAC,retinoic acid,,mcg,,Retinoid with carboxylic acid group. (NCI),
RETOLDH,dehydroretinol,,mcg,,From COST,
CARTOID,"carotenoids, total",,mcg,,"cis and trans carotenoids, including non provitamin a carotenoids. This class includes carotenes, xanthophylls and may also include certain compounds that arise from rearrangement of the skeleton of ψ,ψ-carotene or by loss of part of this structure. Retinoids are excluded.",
XRCARTG,Conversion factor for RE of gamma-carotene,,none,,By convention equals 1/12 or 0.08.,
XRECARTA,Conversion factor for RE of alpha-carotene,,none,,By convention equals 1/6 or 0.17,
XRECARTB,Conversion factor for RE of beta-carotene,,none,,By convention equals 1/12 or 0.08.,
XRECARTBEQ,Conversion factor for RE of beta-carotene equivalent,,none,,By convention equals 1/12 or 0.08.,
XRECRYPXA,Conversion factor for RE of alpha-cryptoxanthin,,none,,By convention equals 1/12 or 0.08.,
XRECRYPXB,Conversion factor for RE of beta-cryptoxanthin,,none,,By convention equals 1/12 or 0.08.,
XBCARTG,Conversion factor for beta-carotene equivalent of gamma-carotene,,none,,By convention equals 1/2 or 0.5,
XBCARTA,Conversion factor for beta-carotene equivalent of alpha-carotene,,none,,By convention equals 1/2 or 0.5,
XBCRYPXA,Conversion factor for beta-carotene equivalent of alpha-cryptoxanthin,,none,,By convention equals 1/2 or 0.5,
XBCRYPXB,Conversion factor for beta-carotene equivalent of beta-cryptoxanthin,,none,,By convention equals 1/2 or 0.5,
CRYPXA,alpha-cryptoxanthin,,mcg,,-,
CRYPXB,beta-cryptoxanthin,,mcg,,-,
CTX,canthaxanthin,,mcg,,non provitamin A carotenoid,
ATX,Astaxanthin,,mcg,,NCI,
VITDEQ,Vitamin D3 + 5 x 25-hydroxycholecalciferol,,mcg,,Found in the McCance and Widdowson (British) and Danish tables,
ERGSTR,ergosterol,provitamin D2,mcg,,,
CHOCALOH,25-hydroxycholecalciferol,"Calcidiol, calcifediol, 25-hydroxycholecalciferol, or 25–hydroxy–vitamin D",mcg,,Found in the Danish table,
CHOCALDOH,"1,25 dihydroxycholecalciferol",Calcitriol,mcg,,,
ERGCALOH,25-hydroxyergocalciferol,,mcg,,,
XCHOCALOH,Conversion factor for vitamin D activity of 25-hydroxycholecalciferol,,none,,By convention equals 5. ,
XBTP,conversion factor for alpha-tocopherol equivalent of beta-tocopherol ,,none,,,
XGTP,conversion factor for alpha-tocopherol equivalent of gamma-tocopherol ,,none,,,
XDTP,conversion factor for alpha-tocopherol equivalent of delta-tocopherol ,,none,,,
XATT,conversion factor for alpha-tocopherol equivalent of alpha-tocotrienol ,,none,,,
XBTT,conversion factor for alpha-tocopherol equivalent of beta-tocotrienol ,,none,,,
XGTT,conversion factor for alpha-tocopherol equivalent of gamma-tocotrienol ,,none,,,
VITK1,vitamin K-1,phyllokinone,mcg,,,
VITK2,vitamin K-2,menakinone,mcg,,,
FOLSUM,"folate, sum of vitamers, determined by HPLC",folacin,mcg,,"Sum of folate vitamers determined by HPLC. Includes mostly tetrahydrofolate, 5-methyltetrahydrofolate, 5-formyltetrahydrofolate, 10-formylfolic acid, 10-formyldihydrofolate and folic acid",
