code,name,synonyms,unit,tables,comments,examples
"AAAN","amino acids, total aromatic; expressed per quantity of nitrogen","","mg/g nitrogen","EA, SWD","Phenylalanine plus tyrosine only, in spite of the fact that tryptophan is also chemically aromatic.",""
"AAAP","amino acids, total aromatic; expressed per quantity of protein","","mg/100 g protein","","Phenylalanine plus tyrosine only, in spite of the fact that tryptophan is also chemically aromatic.",""
"AAET8-","essential to total amino acid ratio; includes the eight basic essential amino acids: isoleucine, leucine, lysine, methionine, phenylalanine, threonine, tryptophan, and valine","","% (The use of <UNIT/> is prohibited with this tagname; the value must be expressed as a percentage.)","","See page ? for a discussion of the denominator of this ratio.",""
"AAET10A","essential to total amino acid ratio; includes the eight basic essential amino acids plus arginine and histidine","","% (The use of <UNIT/> is prohibited with this tagname; the value must be expressed as a percentage.)","","Arginine and histidine are included in this essential amino acid total because they are essential for infants. See page ? for a discussion of the denominator of this ratio.",""
"AAET10B","essential to total amino acid ratio; includes the eight basic essential amino acids plus cystine and tyrosine","","% (The use of <UNIT/> is prohibited with this tagname; the value must be expressed as a percentage.)","","Cystine and tyrosine are included in this essential amino acid total because of their sparing effect on methionine and phenylalanine respectively. See page ? for a discussion of the denominator of this ratio.",""
"AAET12","essential to total amino acid ratio; includes the eight basic essential amino acids plus arginine, histidine, cystine, and tyrosine","","% (The use of <UNIT/> is prohibited with this tagname; the value must be expressed as a percentage.)","ETH","Arginine and histidine are included in this essential amino acid total because they are essential for infants; cystine and histidine are included in the total because of their sparing effects on methionine and phenylalanine respectively. See page ? for a discussion of the denominator of this ratio.",""
"AAET-","essential to total amino acid ratio; neither the numerator (which amino acids are considered essential) nor the denominator (which amino acids are included in the total) is specified","","% (The use of <UNIT/> is prohibited with this tagname; the value must be expressed as a percentage.)","","See page ? for a discussion of the denominator of this ratio.",""
"AAE8N","amino acids, total essential; expressed per quantity of nitrogen; includes the eight basic essential amino acids: isoleucine, leucine, lysine, methionine, phenylalanine, threonine, tryptophan, and valine","","mg/g nitrogen","","",""
"AAE8P","amino acids, total essential; expressed per quantity of protein; includes the eight basic essential amino acids: isoleucine, leucine, lysine, methionine, phenylalanine, threonine, tryptophan and valine","","mg/100 g protein","","",""
"AAE10AN","amino acids, total essential; expressed per quantity of nitrogen; includes the eight basic essential amino acids plus arginine and histidine","","mg/g nitrogen","","Arginine and histidine are included in this total essential amino acid value because they are essential for infants.",""
