code,name,synonyms,unit,tables,comments,examples
"ERGCAL","ergocalciferol","vitamin D-2","mcg","","",""
"ETHAM","ethanolamines, total","","g","SFK","",""
"F4D0","fatty acid 4:0","butyric acid; tetranoic acid; butanoic acid","g","USDA 607, SFK, FRN, DAN, SWD","",""
"F5D0","fatty acid 5:0","","g","","",""
"F6D0","fatty acid 6:0","caproic acid; hexanoic acid","g","USDA 608, SFK, PRC, FRN, DAN, SWD","",""
"F8D0","fatty acid 8:0","caprylic acid; octanoic acid","g","USDA 609, SFK, PRC, FRN, DAN, SWD","",""
"F10D0","fatty acid 10:0","capric acid; decanoic acid","g","USDA 610, SFK, PRC, FRN, DAN, SWD","",""
"F12D0","fatty acid 12:0","lauric acid; dodecanoic acid","g","USDA 611, SFK, NE, PRC, FRN, DAN, SWD","",""
"F13D0","fatty acid 13:0","tridecanoic acid","g","USDA 696, FRN","",""
"F14D0","fatty acid 14:0","myristic acid; tetradecanoic acid","g","USDA 612, SFK, NE, PRC, FRN, DAN, SWD","",""
"F15D0","fatty acid 15:0","pentadecylic acid; pentadecanoic acid","g","USDA 652, PRC, FRN, DAN","",""
"F16D0","fatty acid 16:0","palmitic acid; hexadecanoic acid","g","USDA 613, SFK, NE, EA, PRC, FRN, DAN, SWD","",""
"F17D0","fatty acid 17:0","margaric acid; heptadecanoic acid","g","USDA 653, SFK, PRC, FRN, DAN","",""
"F18D0","fatty acid 18:0","stearic acid; octadecanoic acid","g","USDA 614, SFK, NE, EA, PRC, FRN, DAN, SWD","",""
"F19D0","fatty acid 19:0","","g","","",""
"F20D0","fatty acid 20:0","arachidic acid; eicosanoic acid","g","USDA 615, SFK, PRC, FRN, DAN, SWD","",""
"F21D0","fatty acid 21:0","","g","","",""
"F22D0","fatty acid 22:0","behenic acid; docosanoic acid","g","USDA 624, SFK, PRC, FRN, DAN, SWD","",""
"F23D0","fatty acid 23:0","tricosanoic acid","g","FRN","",""
"F24D0","fatty acid 24:0","lignoceric acid; tetracosanoic acid","g","USDA 654, SFK, FRN","",""
"F10D1","fatty acid 10:1","","","NZ","",""
"F12D1","fatty acid 12:1","lauroleic acid","g","FRN","",""
"F14D1","fatty acid 14:1","myristoleic acid; tetradecenoic acid","g","USDA 625, PRC, FRN, DAN","",""
"F15D1","fatty acid 15:1","pentadecenoic acid","g","FRN, DAN","",""
"F15D1N9","fatty acid 15:1 n-9","","g","","",""
"F16D1","fatty acid 16:1","palmitoleic acid; hexadecenoic acid","g","USDA 626, SFK, NE, PRC, FRN, DAN, SWD","",""
"F16D1C","fatty acid cis 16:1","","g","USDA 673","",""
"F16D1T","fatty acid trans 16:1","","g","USDA 662","",""
"F17D1","fatty acid 17:1","heptadecenoic acid","g","USDA 687, FRN, DAN","",""
"F18D1","fatty acid 18:1","oleic acid; octadecenoic acid","g","USDA 617, FRN, DAN, SWD","",""
"F18D1C","fatty acid cis 18:1","","g","USDA 674","",""
"F18D1N7","fatty acid 18:1 n-7","","g","NZ","",""
"F18D1N9","fatty acid 18:1 n-9","","g","NZ","",""
"F18D1CN9","fatty acid 18:1 cis n-9","","g","","",""
"F18D1T","fatty acid trans 18:1","","g","USDA 663","",""
"F18D1TN9","fatty acid trans 18:1 n-9","elaidic acid; octadecenoic acid","g","SFK, NE, EA, FRN","",""
"F19D1N7","fatty acid 19:1 n-7","","g","","",""
"F20D1","fatty acid 20:1","gadoleic acid; eicosenoic acid","g","USDA 628, NE, PRC, FRN, DAN, SWD","",""
"F20D1N7","fatty acid 20:1 n-7","","g","","",""
"F20D1N9","fatty acid 20:1 n-9","","g","","",""
"F20D1N11","fatty acid 20:1 n-11","","g","","",""
"F22D1","fatty acid 22:1","erucic acid; cetoleic acid; docosenoic acid","g","USDA 630, NE, PRC, FRN, DAN, SWD, NZ","",""
"F22D1N9","fatty acid 22:1 n-9","","g","","",""
"F22D1CN9","fatty acid cis 22:1 n-9","erucic acid; docosenoic acid","g","SFK, FRN, SWD","",""
"F22D1CN11","fatty acid cis 22:1 n-11","cetoleic acid, 11-docosenoic acid","g","","",""
"F22D1TN9","fatty acid trans 22:1 n-9","brassidic acid","g","FRN","",""
"F23D1","fatty acid 23:1","","g","NZ","",""
"F24D1","fatty acid 24:1","selacholeic acid, nervonic acid, tetracosenoic acid","g","FRN","",""
"F24D1C","fatty acid cis 24:1","","g","USDA 671","",""
"F16D2N4","fatty acid 16:2 n-4","","g","","",""
"F16D2N7","fatty acid 16:2 n-7","","g","","",""
"F16D3N3","fatty acid 16:3 n-3","","g","","",""
"F16D3N4","fatty acid 16:3 n-4","","g","","",""
"F16D4N1","fatty acid 16:4 n-1","","g","","",""
"F16D4N4","fatty acid 16:4 n-4","","g","","",""
"F18D2","fatty acid 18:2","","g","USDA 618, NZ","",""
"F18D2CN3","fatty acid 18:2cis n-3","","g","","",""
"F18D2N4","fatty acid 18:2 n-4","","g","","",""
"F18D2N6","fatty acid 18:2, n-6","","g","","",""
"F18D2CN6","fatty acid cis,cis 18:2 n-6","linoleic acid; octadecadienoic acid","g","USDA 675, SFK, NE, EA, PRC, FRN, DAN, SWD","",""
"F18D2TN6","fatty acid 18:2trans n-6","","g","","",""
"F18D2N9","fatty acid 18:2 n-9","","g","","",""
"F18D3","fatty acid 18:3","","g","USDA 619, NZ","",""
"F18D3N3","fatty acid 18:3 n-3","alpha-linolenic acid; octadecatrienoic acid","g","SFK, NE, EA, PRC, FRN, DAN, SWD","",""
"F18D3CN3","fatty acid cis, cis, cis 18:3 n-3","","g","USDA 851","",""
"F18D3N6","fatty acid 18:3 n-6","gamma-linolenic acid","g","FRN","",""
"F18D4","fatty acid 18:4","parinaric acid; stearidonic acid; octadecatetraenoic acid","g","USDA 627, NE, FRN","",""
